GEOID,2020_eviction,2021_eviction,2022_eviction,2023_eviction,own_occ_rate,corp_own_rate,median_yearbuilt,median_price,median_prslpr,mortgage,median_totrooms,median_bathrooms,median_bedrooms,median_lotsize,median_intersf,median_flip_horizon,median_price_diff,median_price_diff_pch,median_lasqbin,mean_month_horizon,buyer_llc_ind_sum,buyer_bus_ind_sum,buyer_trst_ind_sum,buyer_bnk_ind_sum,buyer_gse_ind_sum,buyer_gov_ind_sum,seller_llc_ind_sum,seller_llp_ind_sum,seller_bus_ind_sum,seller_trst_ind_sum,seller_bnk_ind_sum,seller_gse_ind_sum,seller_gov_ind_sum,flip_ind_sum,buy_side_flip_sum,sell_side_flip_sum,restype_R1F_sum,sum_institutional_investor,sum_large_investor,sum_medium_investor,sum_non_investor,sum_small_investor,sum_non_small_llc_investor,sum_small_llc_investor,count_1.FAM.RES,count_2.FAM.RES,count_3.FAM.RES,count_CONDOMINIUM,count_RES.DEV.LAND,percent_owners,num_sales_transactions,years,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fam,hh,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,acs_year,mhi,mhi_me,o_mhi,o_mhi_me,r_mhi,r_mhi_me,units,units_me,own_units,rent_units,median_rent,median_rent_me
25017351500,6,7,16,15,0,0,1920,316000,0,214400,3,1,1,0,1055,1183,15367,8.01,1050.5,11,22,6,20,3,1,0,14,0,13,20,5,0,0,19,20,19,18,9,12,8,357,13,373,26,18,25,26,272,0,39.3,399,2010,2310,1156,1154,299,1694,317,1262,198,5,265,0,72,96,412,435,1104,435,197,107,84,27,10,10,669,472,129,39,17,9,3,0,2007-11,46088,8581,73625,36340,36193,12570,1275,103.0303,423,786,1494,243.6364
25017373100,1,6,4,5,0,0,1910,453750,142625,315600,7,2,3,7599,1700,997.5,55850,14.41,1700.5,12,15,8,14,1,1,0,12,0,8,67,1,0,3,70,73,70,214,16,10,19,627,34,690,16,214,145,19,298,3,40.4,706,2010,4755,2194,2561,845,3255,655,3793,139,8,500,1,29,108,177,1066,2085,1066,471,262,218,80,18,17,1019,719,213,57,22,3,4,1,2007-11,77575,20060,103478,37193,63813,11158,1933,112.7273,1132,730,1847,80
25017373600,2,0,4,0,0,0,1945,537500,165000,258800,6,2,3,41502,1407.5,1268.5,54250,12.53,1450.5,10,15,8,49,0,0,0,32,0,13,124,1,0,0,50,53,50,295,17,6,14,659,24,705,15,295,19,3,386,4,38.2,720,2010,6026,2892,3134,648,4889,489,4747,146,1,599,1,9,142,381,718,988,718,303,156,156,74,20,9,270,191,40,17,12,4,2,4,2007-11,137460,45902,213843,31448,74085,44797,1041,70.30303,696,301,1538,521.8182
25021400600,4,1,3,2,0,1,1915,480000,194500,290000,5,2,2,0,1260,1121,60000,13.58,1250.5,12,34,10,34,1,1,0,84,0,3,82,5,1,0,87,92,87,201,8,6,27,1176,36,1216,37,201,23,13,977,1,36.6,1253,2010,5177,2381,2796,961,3615,601,4020,109,5,691,0,16,119,217,1153,2116,1153,517,271,255,81,26,3,963,617,207,72,50,15,2,0,2007-11,138506,37597,162422,16057,55341,27027,2456,218.1818,1538,918,2726,221.2121
25025000201,3,9,10,7,0.380901287553648,0.1695278969957081,1920,371500,0,296595,7,2,3,3671,1795,1176.5,39750,12.43,1850.5,14,5,3,5,5,0,0,3,0,7,32,8,0,1,18,20,18,78,11,8,14,300,15,338,10,78,102,22,128,0,48,348,2010,3854,1904,1950,439,3151,264,2728,244,5,322,2,70,76,407,571,1541,571,270,133,109,32,12,15,970,375,299,191,73,26,5,1,2007-11,64792,8084,86765,38872,62480,6015,1842,183.6364,549,1256,2296,67.27273
25025000202,7,2,4,16,0.4768460575719649,0.1714643304130162,1920,430000,0,296900,7,2,3.5,4250,1909.5,1040,41298,12.515,1950.5,9,10,5,10,3,1,0,5,0,6,33,9,1,0,19,19,19,71,12,7,10,236,9,260,14,71,84,11,86,0,47.1,274,2010,3885,1962,1923,656,2889,340,2370,273,12,525,0,50,59,596,711,1480,711,259,185,149,80,19,19,769,361,205,104,62,27,7,3,2007-11,53542,8119,63679,27654,48333,15442,1524,106.6667,428,1076,1882,134.5455
25025000301,0,2,6,2,0.4175050301810865,0.1720321931589537,1950,350700,0,261675,5,1,3,1390,1180,1093,30000,11.97,1250.5,13,8,3,10,2,1,0,60,0,7,46,3,1,0,21,21,21,53,4,5,17,297,23,337,9,53,58,14,206,3,41.3,346,2010,2740,1395,1345,273,2136,331,2050,124,0,295,0,24,57,190,463,1159,463,226,117,81,27,9,3,696,333,200,109,43,9,1,1,2007-11,89236,7378,88056,14554,93194,12816,1227,104.2424,404,746,2304,75.15151
25025000302,2,0,2,2,0.4614670380687093,0.1132776230269266,1963,305500,117000,224625,5,2,3,1055,1053,1310.5,37500,13.01,1050.5,12,4,2,13,2,1,0,14,0,9,36,3,1,0,32,33,32,92,7,9,13,462,14,499,6,92,61,3,344,0,42.6,505,2010,3142,1568,1574,310,2497,335,2295,89,2,449,0,30,48,229,545,1276,545,289,135,85,28,7,1,731,321,215,150,29,12,3,1,2007-11,78198,15566,71569,8300,85455,25744,1428,143.6364,629,719,2276,53.93939
25025000401,1,6,8,4,0.2574484339190221,0.1764705882352941,1930,223950,86500,161375,4,1,2,760,760,966.5,33000,17.345,750.5,13,18,8,15,8,3,0,78,0,32,108,16,3,0,124,127,124,31,35,11,40,879,63,1004,24,31,77,21,881,0,35.2,1028,2010,5672,2732,2940,404,4087,1181,4089,132,2,1032,1,30,99,287,834,2877,834,520,162,75,37,19,21,2043,1250,463,186,98,31,9,6,2007-11,35104,11614,51563,25692,29583,11430,3040,267.2727,310,2548,1533,127.2727
25025000402,4,1,3,1,0.3607532210109019,0.1605550049554014,1925,345000,16500,210650,4,1,2,1214,1166,1080.5,29477,13.42,1150.5,13,18,9,25,0,4,0,73,0,11,53,0,4,0,37,41,37,59,17,16,12,441,22,490,18,59,82,10,324,0,42.5,508,2010,3648,1902,1746,366,3024,258,2734,69,0,543,2,28,83,189,473,1461,473,250,91,60,31,18,23,988,439,278,133,92,24,8,14,2007-11,55459,7477,116667,34493,46800,8585,1524,114.5455,472,961,1969,86.66666
