GEOID,2020_eviction,2021_eviction,2022_eviction,2023_eviction,own_occ_rate,corp_own_rate,median_yearbuilt,median_price,median_prslpr,mortgage,median_totrooms,median_bathrooms,median_bedrooms,median_lotsize,median_intersf,median_flip_horizon,median_price_diff,median_price_diff_pch,median_lasqbin,mean_month_horizon,buyer_llc_ind_sum,buyer_bus_ind_sum,buyer_trst_ind_sum,buyer_bnk_ind_sum,buyer_gse_ind_sum,buyer_gov_ind_sum,seller_llc_ind_sum,seller_llp_ind_sum,seller_bus_ind_sum,seller_trst_ind_sum,seller_bnk_ind_sum,seller_gse_ind_sum,seller_gov_ind_sum,flip_ind_sum,buy_side_flip_sum,sell_side_flip_sum,restype_R1F_sum,sum_institutional_investor,sum_large_investor,sum_medium_investor,sum_non_investor,sum_small_investor,sum_non_small_llc_investor,sum_small_llc_investor,count_1.FAM.RES,count_2.FAM.RES,count_3.FAM.RES,count_CONDOMINIUM,count_RES.DEV.LAND,percent_owners,num_sales_transactions,years,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fam,hh,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,acs_year,mhi,mhi_me,o_mhi,o_mhi_me,r_mhi,r_mhi_me,units,units_me,own_units,rent_units,median_rent,median_rent_me,eviction_rate_2020,eviction_rate_2021,eviction_rate_2022,eviction_rate_2023
25017351500,6,7,16,15,0.0,0.0,1920.0,316000.0,0.0,214400.0,3,1,1.0,0.0,1055.0,1183.0,15367.0,8.01,1050.5,11.0,22,6,20,3,1,0,14,0,13,20,5,0,0,19,20,19,18,9,12,8,357,13,373,26,18.0,25.0,26.0,272.0,0.0,39.3,399,2010,2310,1156,1154,299,1694,317,1262,198,5,265,0,72,96,412,435,1104,435,197,107,84,27,10,10,669,472,129,39,17,9,3,0,2007-11,46088,8581,73625,36340,36193,12570,1275,103.0303,423,786,1494.0,243.6364,0.007633587786259542,0.008905852417302799,0.020356234096692113,0.019083969465648856
25017373100,1,6,4,5,0.0,0.0,1910.0,453750.0,142625.0,315600.0,7,2,3.0,7599.0,1700.0,997.5,55850.0,14.41,1700.5,12.0,15,8,14,1,1,0,12,0,8,67,1,0,3,70,73,70,214,16,10,19,627,34,690,16,214.0,145.0,19.0,298.0,3.0,40.4,706,2010,4755,2194,2561,845,3255,655,3793,139,8,500,1,29,108,177,1066,2085,1066,471,262,218,80,18,17,1019,719,213,57,22,3,4,1,2007-11,77575,20060,103478,37193,63813,11158,1933,112.7273,1132,730,1847.0,80.0,0.0013698630136986301,0.00821917808219178,0.005479452054794521,0.00684931506849315
25017373600,2,0,4,0,0.0,0.0,1945.0,537500.0,165000.0,258800.0,6,2,3.0,41502.0,1407.5,1268.5,54250.0,12.53,1450.5,10.0,15,8,49,0,0,0,32,0,13,124,1,0,0,50,53,50,295,17,6,14,659,24,705,15,295.0,19.0,3.0,386.0,4.0,38.2,720,2010,6026,2892,3134,648,4889,489,4747,146,1,599,1,9,142,381,718,988,718,303,156,156,74,20,9,270,191,40,17,12,4,2,4,2007-11,137460,45902,213843,31448,74085,44797,1041,70.30303,696,301,1538.0,521.8182,0.006644518272425249,0.0,0.013289036544850499,0.0
25021400600,4,1,3,2,0.0,1.0,1915.0,480000.0,194500.0,290000.0,5,2,2.0,0.0,1260.0,1121.0,60000.0,13.58,1250.5,12.0,34,10,34,1,1,0,84,0,3,82,5,1,0,87,92,87,201,8,6,27,1176,36,1216,37,201.0,23.0,13.0,977.0,1.0,36.6,1253,2010,5177,2381,2796,961,3615,601,4020,109,5,691,0,16,119,217,1153,2116,1153,517,271,255,81,26,3,963,617,207,72,50,15,2,0,2007-11,138506,37597,162422,16057,55341,27027,2456,218.1818,1538,918,2726.0,221.2121,0.004357298474945534,0.0010893246187363835,0.0032679738562091504,0.002178649237472767
25025000201,3,9,10,7,0.380901287553648,0.1695278969957081,1920.0,371500.0,0.0,296595.0,7,2,3.0,3671.0,1795.0,1176.5,39750.0,12.43,1850.5,14.0,5,3,5,5,0,0,3,0,7,32,8,0,1,18,20,18,78,11,8,14,300,15,338,10,78.0,102.0,22.0,128.0,0.0,48.0,348,2010,3854,1904,1950,439,3151,264,2728,244,5,322,2,70,76,407,571,1541,571,270,133,109,32,12,15,970,375,299,191,73,26,5,1,2007-11,64792,8084,86765,38872,62480,6015,1842,183.6364,549,1256,2296.0,67.27273,0.0023885350318471337,0.007165605095541401,0.007961783439490446,0.005573248407643312
25025000202,7,2,4,16,0.4768460575719649,0.1714643304130162,1920.0,430000.0,0.0,296900.0,7,2,3.5,4250.0,1909.5,1040.0,41298.0,12.515,1950.5,9.0,10,5,10,3,1,0,5,0,6,33,9,1,0,19,19,19,71,12,7,10,236,9,260,14,71.0,84.0,11.0,86.0,0.0,47.1,274,2010,3885,1962,1923,656,2889,340,2370,273,12,525,0,50,59,596,711,1480,711,259,185,149,80,19,19,769,361,205,104,62,27,7,3,2007-11,53542,8119,63679,27654,48333,15442,1524,106.6667,428,1076,1882.0,134.5455,0.006505576208178439,0.0018587360594795538,0.0037174721189591076,0.01486988847583643
25025000301,0,2,6,2,0.4175050301810865,0.1720321931589537,1950.0,350700.0,0.0,261675.0,5,1,3.0,1390.0,1180.0,1093.0,30000.0,11.97,1250.5,13.0,8,3,10,2,1,0,60,0,7,46,3,1,0,21,21,21,53,4,5,17,297,23,337,9,53.0,58.0,14.0,206.0,3.0,41.3,346,2010,2740,1395,1345,273,2136,331,2050,124,0,295,0,24,57,190,463,1159,463,226,117,81,27,9,3,696,333,200,109,43,9,1,1,2007-11,89236,7378,88056,14554,93194,12816,1227,104.2424,404,746,2304.0,75.15151,0.0,0.002680965147453083,0.00804289544235925,0.002680965147453083
25025000302,2,0,2,2,0.4614670380687093,0.1132776230269266,1963.0,305500.0,117000.0,224625.0,5,2,3.0,1055.0,1053.0,1310.5,37500.0,13.01,1050.5,12.0,4,2,13,2,1,0,14,0,9,36,3,1,0,32,33,32,92,7,9,13,462,14,499,6,92.0,61.0,3.0,344.0,0.0,42.6,505,2010,3142,1568,1574,310,2497,335,2295,89,2,449,0,30,48,229,545,1276,545,289,135,85,28,7,1,731,321,215,150,29,12,3,1,2007-11,78198,15566,71569,8300,85455,25744,1428,143.6364,629,719,2276.0,53.93939,0.0027816411682892906,0.0,0.0027816411682892906,0.0027816411682892906
25025000401,1,6,8,4,0.2574484339190221,0.1764705882352941,1930.0,223950.0,86500.0,161375.0,4,1,2.0,760.0,760.0,966.5,33000.0,17.345,750.5,13.0,18,8,15,8,3,0,78,0,32,108,16,3,0,124,127,124,31,35,11,40,879,63,1004,24,31.0,77.0,21.0,881.0,0.0,35.2,1028,2010,5672,2732,2940,404,4087,1181,4089,132,2,1032,1,30,99,287,834,2877,834,520,162,75,37,19,21,2043,1250,463,186,98,31,9,6,2007-11,35104,11614,51563,25692,29583,11430,3040,267.2727,310,2548,1533.0,127.2727,0.0003924646781789639,0.002354788069073783,0.0031397174254317113,0.0015698587127158557
25025000402,4,1,3,1,0.3607532210109019,0.1605550049554014,1925.0,345000.0,16500.0,210650.0,4,1,2.0,1214.0,1166.0,1080.5,29477.0,13.42,1150.5,13.0,18,9,25,0,4,0,73,0,11,53,0,4,0,37,41,37,59,17,16,12,441,22,490,18,59.0,82.0,10.0,324.0,0.0,42.5,508,2010,3648,1902,1746,366,3024,258,2734,69,0,543,2,28,83,189,473,1461,473,250,91,60,31,18,23,988,439,278,133,92,24,8,14,2007-11,55459,7477,116667,34493,46800,8585,1524,114.5455,472,961,1969.0,86.66666,0.004162330905306972,0.001040582726326743,0.003121748178980229,0.001040582726326743
